0x53C3 0x53C2  // 參 参
0x8460 0x53C2  // 葠 参
0x84E1 0x53C2  // 蓡 参
0x9A42 0x9A96  // 驂 骖
0x6B98 0x6B8B  // 殘 残
0x8836 0x8695  // 蠶 蚕
0x615A 0x60ED  // 慚 惭
0x6159 0x60ED  // 慙 惭
0x6158 0x60E8  // 慘 惨
0x9EF2 0x9EEA  // 黲 黪
0x71E6 0x707F  // 燦 灿
0x5009 0x4ED3  // 倉 仓
0x5096 0x4F27  // 傖 伧
0x6EC4 0x6CA7  // 滄 沧
0x84BC 0x82CD  // 蒼 苍
0x8259 0x8231  // 艙 舱
0x64A1 0x64CD  // 撡 操
0x8278 0x8279  // 艸 艹
0x518A 0x518C  // 冊 册
0x5074 0x4FA7  // 側 侧
0x53A0 0x5395  // 厠 厕
0x5EC1 0x5395  // 廁 厕
0x60FB 0x607B  // 惻 恻
0x6E2C 0x6D4B  // 測 测
0x7B5E 0x7B56  // 筞 策
0x7B74 0x7B56  // 筴 策
0x5C64 0x5C42  // 層 层
0x633F 0x63D2  // 挿 插
0x9937 0x9987  // 餷 馇
0x9364 0x9538  // 鍤 锸
0x67FB 0x67E5  // 査 查
0x8A67 0x5BDF  // 詧 察
0x9454 0x9572  // 鑔 镲
0x8A6B 0x8BE7  // 詫 诧
0x91F5 0x9497  // 釵 钗
0x5115 0x4FAA  // 儕 侪
0x8806 0x867F  // 蠆 虿
0x8998 0x89C7  // 覘 觇
0x647B 0x63BA  // 摻 掺
0x6519 0x6400  // 攙 搀
0x5B0B 0x5A75  // 嬋 婵
0x8B92 0x8C17  // 讒 谗
0x79AA 0x7985  // 禪 禅
0x995E 0x998B  // 饞 馋
0x7E8F 0x7F20  // 纏 缠
0x87EC 0x8749  // 蟬 蝉
0x9414 0x9561  // 鐔 镡
0x7522 0x4EA7  // 產 产
0x7523 0x4EA7  // 産 产
0x8AC2 0x8C04  // 諂 谄
0x5277 0x94F2  // 剷 铲
0x93DF 0x94F2  // 鏟 铲
0x95E1 0x9610  // 闡 阐
0x8546 0x8487  // 蕆 蒇
0x56C5 0x5181  // 囅 冁
0x61FA 0x5FCF  // 懺 忏
0x986B 0x98A4  // 顫 颤
0x5000 0x4F25  // 倀 伥
0x95B6 0x960A  // 閶 阊
0x9BE7 0x9CB3  // 鯧 鲳
0x9577 0x957F  // 長 长
0x8178 0x80A0  // 腸 肠
